,日付,タイトル,本文
460,2020年1月27日,鉄瓶,こんにちは、こうすけです。 今日は一段と寒さが増しますね。雪の予報が出ているので、より寒さを感じさせます。 先日の記事で、朝活として白湯を飲んでいる話を書きました。更に白湯を楽しみたくて、鉄瓶デビューしました！鉄瓶といえば、岩手の南部鉄器。今回購入した、鉄瓶、まりっとしてて可愛いんです。お店のストーブの上にちょこんと置いておくと、更に可愛い。お店にいらした際は、是非見ていただきたいです。 
465,2020年1月28日,白湯の作法,こんばんは、こうすけです。昨日ついに、お店に鉄瓶を導入して、ウキウキしております。これで、本格的に白湯を楽しめます。 ところで、白湯って、水をそのまま沸かせばいいものなんでしょうか？普通のお湯と何か違いがあるんでしょうか？ ということで、調べてみたのですが、どうやら白湯はアーユルヴェーダに起源があるようです。アーユルヴェーダは、インド大陸の伝統医学です。僕は、こちらは完全に門外漢なので、あくまで調べた知識をお伝えするだけになりますが、白湯は、風と火と水の要素で成り立っているため、そのエネルギーを取り込むことができるもののようです。面白いですね。薬膳のベースとなる、中医学でも、体に5つの要素があると考えているので、アーユルヴェーダについても、学んでみたくなります。 この点だけでも、白湯とお湯には違いがあるのではないかと僕は思っています。白湯とお湯の違いは、その作り方を見るとすごく違う感じがする。水を沸かした物という意味では、白湯はお湯と同じなんでしょうが、手間が全然違う笑。そして、アーユルヴェーダの要素も考えると、やっぱり、ただ沸騰しただけの水とは、違う感じがします。 というわけで、白湯の作法です。1.やかんや鍋に水を入れ、蓋をして火にかけます。2.沸騰したら蓋をとり、そのまま沸かし続けます。3.10～15分ほど沸かせば完成です。 沸騰した後に、そのまま沸かし続けるというのが、ポイントのようです。そして、この後に大体50度になるまで冷ましてから、少しずつ飲むのも大事なポイント。 水を50度まで温めた物を飲むのでは、意味がないので、しっかり作法を守って飲むのをお勧めします。あと、体に良いからといって、飲み過ぎも厳禁です。むくむし、胃液を薄くするので、消化能力が落ちます、あと温かいとはいえ、最終的にはやはり水、体の冷えにもつながります。 飲むタイミングは、もちろん寝起きがベスト。効果としては、冷え性改善、肩こり・腰痛改善、ダイエット、美肌が期待できるようです。 朝いっぱいの白湯を習慣に取り入れるのは、なかなか良さそうです。
473,2020年1月29日,鳥のスープ,こんにちは、こうすけです。昨日のぐっとした寒さから一転、今日は妙に暖かいですね。このまま暖かい日々が始まってくれればいいのですが、まだそうも行かないですね。 さて、ここ最近は寒いせいもあって、スープばかり作っています。その時に大切にしているのが、ベースのストック（出汁）です。ここ最近掲載しているスープの出汁には、鰹出汁を使っているのですが、その他にも、野菜だけのものだったり、お肉を使ったものだったり、合わせる食材や、薬膳の効能に合わせて変えたりしています。 今回は、お家でも簡単に出来る、鳥のスープの取り方をご紹介。 因みに鶏肉は、脾胃を温めて、その機能を高めたり、気を補ったりしてくれる効果があると言われています。 【必要な材料　スープ1l分】・鶏ガラ…1kg・生姜…1片・玉ねぎ…1個・水…2l・粒胡椒…10粒前後鶏ガラは、流水で軽く汚れを落としておきます。鍋に水を張ったら、生姜片と玉ねぎ、粒胡椒を入れて、中火にかけて煮立たせます。野菜は今回玉ねぎだけですが、色んな野菜を入れると、もっと味に広がりが出ます。 煮立ったら、弱火にします。灰汁が出てくるので、丁寧に灰汁を取り除きましょう。さて、ここから弱火のまま、ガンガン煮込んでいきます。目安は、水分量が半分になるくらいまで。最初は透明だったスープが、徐々に乳白色に近くなってきます。そうすると、どんどんスープの味が濃くなっていきます。スープを作り始めた時より、だいぶ色が濃くなってきています。味の濃さは、お好みになってきますので、鳥の味がほんのりする程度が良い場合は、もっと早めに火を止めてしまっても大丈夫です。僕は、スープを作るときのベースにするので、割と濃いめに作っておきます。後で、他の水分を加えて割る時に便利。 今回は、このくらいの色になるまで炊きました。すごく濃厚な鳥の味わい。このまま塩を加えて飲んでも美味しい。小分けにして冷凍も出来るので、使い勝手は抜群です。
475,2020年1月30日,『Cats』,こんにちは、こうすけです。しばらく晴れ間が続きそうですね。 さて、昨日はミュージカル映画『Cats』を見てきました。個人的にはすごく楽しかったです。 どうも余りいい評価を受けていない様なのですが、この際、それは置いておきます笑 『Cats』は、元々、イギリスの文学者T.S.エリオットが作った子供向けの詩集。それをもとに、アンドリュー・ロイド・ウェバーが作曲を手掛けたミュージカル作品です。様々な個性豊かな猫たちが、都会のごみ捨て場を舞台に、踊りと歌を繰り広げ、新しい生を受ける唯一の猫を決める。そんなストーリーです。 色々な特徴を持った猫達が、それぞれの個性に合わせた歌や踊りを繰り広げるので、見ていてとにかく楽しい作品。ストーリーを追うというよりも、それぞれのキャラクターやそれにまつわる歌を楽しむという方が強いかもしれません。 そして、今回はその映画版。俳優陣が豪華だったり、歌手や現役のバレエダンサーを起用していたり、見所は満載です。使用される楽曲は、新たに付け加えられた物以外は、舞台版と一緒（もちろん、使われていないシーンもありますが）。オリジナルのCats好きとしては、嬉しいところです。それを映画ならではの映像を使った表現で見れるのが、また楽しい。曲調も様々なアレンジが効いているので、オリジナルと違った楽しみ方も出来ました。 何より、歌と踊りが見ていて本当に楽しいんです。これは、もちろんオリジナルが素晴らしいというのもあるのですが、舞台上では見ている側の想像力で補っていた部分を表現されているというのが、新鮮で、ああ、こんな風に見ることも出来るんだという驚きがありました。 キャストの中に、歌手や、ロイヤルバレエ団のトップダンサーを起用しているので、歌声やダンスも本当に素晴らしかったです。舞台と違って、カメラワークで、細かい部分も見ることが出来るのですが、そこで目に入ってくるのが、ダンサーの足先の美しさだったりします。地面からそっと離れる爪先の、動きや離れる時間など、そういった部分まで見ることが出来るのも、映画ならでは。 僕にとって『Cats』は、とても思い出深い作品です。初めてイギリスに家族で行って、そこで初めて見た本場のミュージカルでした。当時小学生で、英語は全然分からず、果たして楽しめるのか、不安でいっぱいだったのですが、そんな不安が一瞬にしてどこかへ行ってしまうくらい、楽しく、引き込まれました。余りにはまりすぎて、原作のT.S.エリオットの詩集を買ったり、英語の詩集を読んでみようとしたこともあります笑。 僕にとっては、家族の思い出でもあり、子供の頃の思い出の作品。それがスクリーン上で、新たな作品として上映されると、いろいろな思い出が蘇って、更に映画を楽しむことができました。
478,2020年1月31日,散歩と鎌倉,こんばんは、こうすけです。いきなりぐっと寒さが戻ってきましたね。昨日一昨日と暖かかっただけに、今日の寒さはかなり応えました。 とは言え今日はとても気持ちの良い快晴だったので、久しぶりに鎌倉に足を伸ばしてきました。鎌倉は行くたびに新しいお店が出来ていたり、知っているはずの場所でも新たな発見があったりして、面白いです。面白い人と出会えたりするのも良いですね。訪れたお店の店員さんに色んな話を聞かせてもらったり、良い出会いがあることも。今回は、知人にお勧めしてもらった喫茶店に行ったのですが、面白い時間を過ごすことが出来ました。 それから、鎌倉は当てもなく歩いてみるのも、楽しいですね。裏道に入れば、静かにもなりますし、のんびりした時間を過ごすことができました。 何処かに立ち寄ることを目的とせず、無目的に歩く散歩というのは、何か考え事をしたり、何も考えないということをするのに相性がいいです。ちょっと瞑想に近いような感じがします。 今日は、普段余りしないような、考え事の時間を取ったり、ただただ歩くことを楽しんだりすることが出来ました。散歩は、自分の外にも中にも新しい発見があって楽しいですね。
482,2020年2月1日,２月ときんぴら,こんにちは、こうすけです。 早いもので、今日から２月。…….本当に早い。この間年が明けたと思ったんですが。２月はどんなことがあるのか、それもまた楽しみです。 子供の頃にあまり好きではなかったために、大人になってから食べる機会があまり無い食べ物というのがあるかと思います。でも、それがふとした瞬間に何故か食べたくなって、食べてみると、美味しくて、そのまま好物になる、なんて経験がある方もいらっしゃるんじゃないでしょうか？ 僕は、割とそういう経験が多くて、今になって、美味しいなと思えるものに色々出会うことが出来ることがあります。 さて、今日はそんな料理の中から、きんぴらごぼうのお話です。子供の頃は、どうもゴボウの土臭さというか、えぐみのようなものが苦手で、ついつい敬遠しがちでした。でも最近は、このえぐみのような味わいが美味しく感じられるように。味覚の好みの変化は面白いものです。 ささがきにしたごぼうと細切りのにんじんを、ごま油で丁寧に炒めて、砂糖と醤油で甘辛く味付けしたら、完成。好みで胡麻を加えても美味しい。 このきんぴら、薬膳的に見ても、とてもおすすめ。ごぼうは、便秘改善に良く、コレステロール代謝にも良いとされています。食物繊維も多いので、お腹の調子を整えてくれる。ただし、性質が寒性なので、ゴボウ単品を食べすぎると、体を冷やすこともあります。そこで、一緒に食べたいのが、にんじんと胡麻。にんじんは、平性の野菜。整腸作用もありますし、血を補う力や、がん予防や、アンチエイジジング、潤いを与える効果も期待できます。 そこに胡麻をトッピングすると、更に嬉しい効果が。胡麻もにんじんと同様、血を補う作用や、潤いを与える効果、肝や腎の機能を補ってくれます。また、ごぼうと同じように便秘改善にもおすすめ。ごぼうが寒性な分、この平性の食材を二つ組み合わせるのは、冷え予防にもバッチリです。 潤い効果や、補血効果、便秘改善、アンチエイジングなどなど、女性の悩みにもマッチした料理だと思います。ぜひ、今晩の副菜にいかがでしょうか？
487,2020年2月2日,知ることと話すこと,こんばんは、こうすけです。 先日の鎌倉散策で伺ったお店でのお話です。こちらのお店、日本茶の専門店でして、様々な種類の煎茶、ほうじ茶、抹茶、和紅茶などを気軽に楽しめる素敵な場所でした。オーナーさんがまた面白い方で、とにかく日本茶の知識が豊富。お茶の種類はもちろんのこと、製法の違い、産地の違いによる味の変化、様々なことをお話ししてくれました。お話の内容が面白かったのは、もちろんなのですが、このオーナーさんが、楽しそうにお喋りするのが、魅力的でした。ストーリーとして語られたというところに引き込まれた感じでした。 ただ知識を取り込むだけでなく、自分の中で噛み砕いて、それを表現する。そうすることで、知識が身につくんだということを体感出来ました。知るということは、人に話すことで、身になっていくんだということ、これからはこのことを意識していきたいと気づける、良い時間でした。
489,2020年2月3日,節分と豆,こんばんは、こうすけです。 今日は節分ですね。皆さんは、豆撒きをして豆を食べられたでしょうか？まめは、魔滅というように字を当てることが出来るので、食べると魔を滅することが出来る。だから体にも良い、という風に考えられたという説もあります。 とはいえ、乾燥大豆を何粒も食べるのはだいぶ辛いですね笑僕は、きな粉を食べて、歳の数だけ食べたことにしました笑 大豆は、消化不良や、脾胃の調子を整えたり、気を補う作用があります。消化不良や疲労回復の効果も期待できます。大豆イソフラボンは、更年期障害や美肌に効果もあるといわれています。大豆は、いろいろな形に加工されているので、率先してとっていきたいですね。   
492,2020年2月4日,『しんえん』というイベント,こんばんは、こうすけです。 今日は僕がケータリングで参加しているイベントのお話をしたいと思います。そのイベントは『しんえん』と言います。 このイベントは、僕の友人のしんろくさんという人が立ち上げた、宴会型のイベントです。ほとんど毎月、新宿か吉祥寺でこのイベントは行われているのですが、とてもユニークで、中々出会うことのできないイベントです。宴会型というだけあって、様々な出し物があります。三味線や、チェロ、歌、ダンス、書道や水墨画のパフォーマンス、果ては寸劇まで、ありあらゆるジャンルの出し物を楽しめます。出し物をする方達は、もう本当に芸達者な方ばかりで、これでもかというくらい、はしゃいだり笑ったり、楽しませてくれます。ただし、あくまで宴会。出し物をしてくれたパフォーマーの皆さんも、宴会の参加者として、イベントを楽しむことが出来るんです。目の前で、パフォーマンスをしてくれた方と、お話が出来ちゃうというのが、とても楽しい。 加えて、この宴会のコンセプトはが「仲の良い他人を作る」というもの。「離れたら追いかけない」「お酒は人に勧めない」という、とても分かりやすいルールのもとに成り立っているので、自分の程よい距離感で、初めましての人と、交流を持つことも出来ます。 毎回、色々なパフォーマンスが楽しめるのはもちろん、このイベントで出会った人と、気軽に挨拶が出来るというのも、楽しみの一つ。 そして、このイベント、次回が、来週の2/10月曜日、吉祥寺で開催されます。僕は、今回もケータリングという形で参加するのですが、どんな料理を出そうか、それも含めてワクワクしています。  
496,2020年2月7日,『ナイブズ・アウト』,こんばんは、こうすけです。 今日は、ずっと前から公開を楽しみにしていた『ナイブズ・アウト』という映画を見てきました。 匿名の人物から依頼を受けた、紳士探偵ブノワ・ブランが、大物推理小説家の自殺事件に挑みます。容疑者は、推理小説家の親族全員、果たして、本当に自殺なのか、それとも他殺なのか、他殺ならば、その動機は？親族達の様々な思いが巡る、古典ミステリ映画となっています。 ネタバレしないように感想を書くのが、難しいのですが、家族達の思惑というのが、かなり自己都合的な部分があって、そこがくすりとしてしまいます。重厚なミステリというより、軽妙で楽しいミステリといった感じでしょうか。親族達が皆濃いのが、見ていて楽しい。アガサ・クリスティやポワロを彷彿とさせる古き良きミステリ具合。ストーリーとして楽しめるのは、もちろんなのですが、配役もすごく楽しかった。紳士探偵役を、００７シリーズのダニエル・クレイグが務めているのが、堪らなかったです。００７シリーズでは、あれだけド派手なアクションを繰り広げ、時に冷徹に人を殺めているダニエル・クレイグが、この作品では、何処となく垢抜けないおじさん探偵になっているという、このギャップが最高でした。はたまた、マーベルシリーズで、アメリカを、世界を悪から守るために闘うキャプテン・アメリカを演じる、クリス・エヴァンスが「○食らえ」を連発するろくでなしな孫を演じているというこのギャップ。そして、驚きなのが、スターウォーズシリーズで、老賢者マスター・ヨーダの声を演じているフランク・オズが、俳優として、出演してきます。個人的には、かなりのサプライズ、思わずニヤニヤしてしまいました。 既に続編が製作決定になっている『ナイブズ・アウト』紳士探偵ブノワ・ブランの活躍を是非楽しんでいただきたいです。  
498,2020年2月5日,よく噛む,こんばんは、こうすけです。 今日も今日とて、寒暖差が激しかったですね。日中は暖かいのに、夜はガクッと寒くなってきました。 最近「よく噛む」ことを意識して、食事をしています。僕は、口が割と大きい質でして、ひと口が大きい。そのおかげというか、せいでというか、一回に入る食べ物の量が多いんですね笑そうなると、早く飲み込みたくなるので、結果食べるスピードが早まってしまいます。その弊害が、噛まない笑　最早飲むに近いので、胃腸に負担がかかる。よくないと思いつつ、その食習慣のままに来ていたのですが、薬膳を学ぶようになったこともあり、改めて、内臓を思いやろうという気になり、最近は、少しずつ、噛むことを意識して食べるようになってきました。 噛むと、凄く顎を使っているので、顎の筋肉にも良い気がしますし、何より、胃腸への負担が減ってきている気がします。 噛むのは大切だなと身に染みて思う今日この頃と、継続宣言でした。
500,2020年2月6日,「続ける」ということ,こんにちは、こうすけです。 何と今日で、今年に入ってから、ブログの毎日更新が１ヶ月に入りました。今まで日記なども三日坊主だったので、我ながら快挙です笑 何かを習慣化するのには「３」という数字を意識すると良いそうです。三日坊主という言葉があるくらいなので、寧ろ３日続けたら、習慣化の第一歩と考えても良いくらいなのではないでしょうか？そしてその次は、３週間続けてみる。その次は、３０日、そして３ヶ月、３年というように「３」という期間をベースに習慣化を図る。 こうやって、目安を作っていくと、習慣化しやすいようです。だから習慣化したいことがあれば、まず３日続ける。 続かなかったら、そこでやめてしまって、次のことにチャレンジするのも良し、また改めて、３日続けてるのも良し。色んな選択を楽しむのが良いと思います。 僕は３日、３週間、３０日を乗り越えたので、次は３ヶ月を目指して進みたいと思います。
504,2020年2月8日,ケータリング仕込み（１日目）,こんばんは、こうすけです。 明後日は、先日のブログで書いた「しんえん」です。ということで、今日明日はケータリングの仕込みデーでした。今回のケータリングでは、特製ピラフを出す予定です。今日はピラフを炊くためのストックをとったり、ひたすら野菜を切り出したり、下準備で盛り沢山でした。が、しかし、残念なことにこのタイミングで、スマホが壊れまして……写真が一切撮れなくなりました。色々な下準備が出来て面白かっただけに、残念です…….。早く修理しに行かないと。
506,2020年2月9日,ケータリング仕込み（2日目）,こんばんは、こうすけです。 今日は、昨日に引き続き、キッチンに引きこもっておりました。明日のケータリングに向けて、本仕込みでバタバタでした。ただいま、心地よい疲労感で、ブログを書いています。 昨日は、ひたすら野菜を切ったり、ストックを作ったりしておりました。出来上がったスープに潰したトマト、様々な風味のスパイスを加えて、つけだれを作っておきます。真っ赤ですが、トマトの赤みです、スパイスも入ってますが、メインはトマト。激辛ソースではありません笑。 つけだれを作っている間に、鶏肉を皮が焦げるくらいしっかり焼きます。いい色です、とても良い。このまま熱々を頬張りたいところですが、我慢。この鶏肉を先程の鶏肉に漬け込みます。２時間ほど漬け込んでおくと、こんな感じに。いい具合に味が染みています。ここから、まだまだ作業が続くのですが、明日に備えて、今日はこの辺りで、一度筆（指？）を置きたいと思います。
517,2020年2月10日,ケータリング本番,おはようございます、こうすけです。 今日は、気持ちの良い冬晴れですね。めちゃくちゃ寒いですが。 本日は、一昨日から仕込んでいたケータリング本番です。良い感じに仕上がってきています。イベント自体も今から楽しみです。今日成果をご報告できたら良いなと思いつつ、いそいそ準備しております。今日のイベントは、ダンスがメイン。心が躍ります、どんなダンスが見れるのか、楽しみで仕方ないです。
519,2020年2月11日,ケータリング無事終了しました。,こんばんは、こうすけです。 今日は、気付いたらお昼過ぎまで寝てしまっていました。思った以上に、ケータリングで体力フル稼働していたようです。 昨晩のケータリングも、無事終了いたしました。お陰様で７０名以上の方に、立ち寄っていただきまして、召し上がったいただくことができました。これだけの方に食べていただけるとなると、毎回気合が入ります。今回は、ピラフをベースに、スパイスをたっぷり使った、南米風に仕上げてみました。仕上げに丸鶏につめて焼いて、見栄えも楽しんでいただけるようにしたのですが、そこに驚いていただけるのも、すごく嬉しかった。改めて、イベントそのものも含めて、近々振り返りたいと思います。 
521,2020年2月12日,スマホと距離を置いてみた話,こんばんは、こうすけです。 今日は、日中は暖かかったですね、と思ったら、今は雨。いまいち天気がよくわかりません。 先週末スマホが突然壊れました。充電しても、充電中の表示はされるけれど、一向に充電されないという状態に陥りました。まあ、焦る焦る。まずどうしていいか、分からないので、焦る。充電が切れてしまうと、人と連絡の取りようがなくなるので、焦る。地図アプリがないと、完全に何処にもたどり着けないから、焦る。出張直前なので、スマホがないと、メール確認や、連絡の手段がなくなるので、焦る。二段階ロックアプリが使えなくて、どうにもならなくて、焦る。 とにかく焦ることが大量に出てきてしまいました。いつの間に、こんなにスマホが手放せなくなってしまったんだろう、と衝撃的でした。そして充電が切れた瞬間のお手上げ感と言ったら、もう、という感じです。 とはいえ、不思議なもので、一晩経ってしまうと、なければないで、外からの連絡に縛られないし、意外と快適だな、と開き直っている自分がいました。どうしても連絡したい相手であれば、最悪パソコンから連絡取れるので、それはそれで何とかなる。ロックが外せないのだけが、割と困り物だったのですが、余計な物を持たない、縛られない快適さを珍しく感じることが出来ました。 結局バッテリーが寿命だったようで、バッテリー交換したことで、スマホは復活したのですが、不測の事態のお陰というのか、久々にスマホと距離をおいた１日を過ごすことが出来ました。普段と違う自分を体感できるというのは、中々ないので、これはこれで、良い経験でした。
523,2020年2月13日,サツマイモのポタージュ,こんばんは、こうすけです。今朝のスコールのような雨、凄かったですね。そこからポカポカとした陽気で、気持ちの良い１日でしたね。徐々に春が近づいてきているのでしょうか。 さて、今日の薬膳レシピは、サツマイモのポタージュ。サツマイモは、お腹の調子を整えて、きれいにしてくれる胃腸に優しい食材です。 【必要な材料（2人分）】サツマイモ…1個玉ねぎ…1/2本生姜…1/2片チキンストック…250ml豆乳…50mlあら塩…適量オリーブオイル…適量胡椒…お好みで まずは、サツマイモをいちょう切りに、玉ねぎと生姜をみじん切りにしておきます。玉ねぎは、炒める前に軽く塩をふっておくのも良いです。 いつものように、オリーブオイルでみじん切りした生姜を炒めたら、ごく弱火で玉ねぎを炒めます。そこにサツマイモを加えて、炒めていきます。サツマイモにしっかり火が通って、少し焦げ目がついてきたら、ここにスープを加えます。今回は、前回作った鶏スープを使いたいと思います。サツマイモがしっかり柔らかくなるまで煮込んだら、ミキサーにかけ、仕上げに豆乳を加えたら、完成です。優しい甘みが、まだまだ寒い夜に嬉しいスープです。  
536,2020年2月14日,アカデミー賞のお話,こんばんは、こうすけです。 毎年この時期の楽しみがありまして。それは、アカデミー賞の授賞式を見ること。もう、放送日当日は、極力色んな情報を遮断します、そうでもしないと、すぐに賞レースの結果が目に、耳に入ってきてしまいます笑 アカデミー賞は、誰が俳優賞を取るのか、監督賞を取るのか、どの作品が最優秀賞を取るか、そう言った賞レースの結果が楽しみなのはもちろんなのですが、様々な俳優が行う賞のプレゼンテーターとしてのコメント、歌手たちによるパフォーマンス。ただの授賞式とは違って、式そのものがエンターテイメントとして楽しめます。今年も、様々なパフォーマンスを楽しむことが出来ました。日本公開前の映画が賞レースに上がることもあるので、それを見ると、気になって仕方なくなります。先日見に行った『ジョジョ・ラビット』が脚色賞をとっていて、個人的にかなり嬉しかった。これから、ますます今年の映画が楽しみになる、そんな１日でした。
538,2020年2月15日,菜の花のポタージュ,こんばんは、こうすけです。 なんだかんだで、今日も暖かかったですね。このまま、春を迎えるんでしょうか。 とは言ったものの、夜はまだ冷えるので、今日もコトコトスープを作ります。今日は、今が旬の菜の花のポタージュ。とても濃い緑色が綺麗なポタージュが出来たのですが…….週明けから出張ということもあり、気が急いているのか、写真をとるのをすっかり忘れました。しまった、残念。 菜の花は温性、血を活性化させ、血の巡りを良くしてくれる食材です。便秘解消にも良いので、お腹の掃除にもおすすめ。体を温め、美肌効果も期待できます。【必要な材料（2人分）】菜の花…1束玉ねぎ…1/2本生姜…1/2片チキンストック…250ml豆乳…50mlあら塩…適量オリーブオイル…適量胡椒…お好みで いつものように、玉ねぎと生姜はみじん切り。菜の花は、炒めやすい大きさにざく切りします。 オリーブオイルで、生姜を軽く炒めたら、軽く塩をふった玉ねぎをゆっくり丁寧に炒めます。そこに菜の花を加えて、しんなりするまで、炒めます。さらにチキンストックを加えて、沸騰直前までゆっくり温めたら、ミキサーにかけます。 ポタージュ状になったら、最後に豆乳を加え、更にあら塩を加えて、味を調えたら、完成です。菜の花だけだと、結構辛味が強くなるので、豆乳などを加えるのがおすすめ。 春の味覚を楽しめる季節が来ましたね。やっぱり春が近いようです。
542,2020年2月16日,明日から出張です。,こんばんは、こうすけです。 また、一気に寒さが舞い戻ってきましたね。やはり、春はまだ先のようですさて、明日から２８日まで、フランスへ出張に行ってまいります。それに伴いまして、実店舗の方もお休みいたします。色んな雑貨を買い付けてきますので、どうぞお楽しみに！
545,2020年2月17日,フランス出張（１日目）,こんばんは、こうすけです。 無事フランスに到着しました。時差の関係で、更新時間が変な感じになってしまいます。 そろそろ日本は、朝になる頃でしょうか？僕は、今パリに来ています。中々寒いですが、夕方でもそれなりに明るいので、気持ちがいいです。と思っていると、突然土砂降りになったりするので、油断は出来ません笑 明日からは、怒涛の買い付けがスタートします。どんな雑貨に出会うことができるのか、とても楽しみです。
548,2020年2月18日,フランス出張（2日目）,おはようございます？　こんばんは？　こうすけです。 時差のせいで、なんと挨拶していいのか、よく分からない状態になっています。そして不意にくる異様な眠気。微妙な時差ぼけが続いています。 さて今日は朝からパリを歩き倒していました。まずは逗留しているマレ地区周辺から。僕は、このマレ地区が非常に好きで、パリに来ると必ず歩き回ります。とにかく面白い雑貨屋さんやギャラリーが多いんです。アートの文化が凄く生き生きしているように感じます。そのせいか、カフェも充実していて、美味しいものが多い。歩いていると、色々面白いものに出会うことが出来ます。ウォールアートも魅力的です。 至る所に出会いがあるのが、この地区の魅力だなと思います。素敵な雑貨にも幾つか出会えました。明日はどんな出会いがあるのか、楽しみです。
551,2020年2月19日,フランス出張（3日目）,おはようございます、こうすけです。こちらただいま深夜の０時を回るところです。 今日も今日とて、歩き回りました、パリ。２７０００歩ほど歩いていたようです、歩き倒しましたね。 今日は、パリ市内北部のモンマルトル辺りからスタートして、逗留中のマレ地区まで散策し倒していました。時差ぼけのせいか、朝５時ごろに目が覚めてしまい、そのまま活動をスタートしたので、夕方には、昼寝をしないと限界、そして昼寝をしたら、起き上がれないという悪循環笑今日は歩きすぎたせいか、体が震えています。色々雑貨は見つかり始めていますが、明日もしっかり探し回りたいと思います。
554,2020年2月20日,フランス出張（4日目）,こんばんは、こうすけです。 思った以上に、パリは寒い日々です。しかもポツポツ雨に出会し、いつ雪が降ってもおかしく無いような寒さです。寒さを押して、今日も歩き倒しました。歩き倒した後は、こちらで出来た友人のギャラリーを訪ねて、話し込んできました。パリに来る度に、彼のギャラリーを訪問するのですが、訪れる度に、新たな作品を見ることが出来て、アートの話を聞かせてくれるので、凄く楽しい時間を過ごすことが出来ます。今回も楽しい時間を過ごせました。 明日は、南フランスに移動します。大好きな町、マントンで、初のメゾン暮らしです。
557,2020年2月21日,フランス出張（5日目）,こんばんは、こうすけです。 出張も５日目を迎え、折り返しです。今日から、しばらくマントンという町に逗留します。ニースや、カンヌ、モナコ、イタリアにも近い、町。レモンで有名な、とても魅力的な町です。 地中海に近いこともあり、この時期でも暖かな気候で、過ごしやすいです。今日は、パリのオルリー空港から、ニース空港に降り立ち、タクシーでマントンまで来たのですが、その道中のタクシーの運転手さんがとても愉快な方でした。日本の漫画が大好きなようで、とても嬉しそうに話してくれたり、日本の文化に興味があったりと、道中色んなお話をしてくれて、４０分あっという間でした。こうした旅先での出会いは本当に楽しく、嬉しいものです。明日からしばらくの南仏滞在。どんな出会いがあるのか、楽しみです。
559,2020年2月22日,フランス出張（6日目）,こんばんは、こうすけです。 マントン滞在も２日目となりました。こちらは毎日天候にも恵まれるようで、今日も良い天気でした。せっかくの好天だったので、今日はローカル線に揺られて、少し遠出をしてきました。 今日の目的地は、映画祭の街としても有名なカンヌ。この時期は、割と穏やかで静かな感じがします。冬なので、風は冷たいのですが、日差しもあり、散歩するには程よい気候です。イタリアが近いせいもあるのか、所々で、イタリア語が聞こえます。レストランに入ると、イタリア語だったりして、もういよいよ何を言っているのかわかりません笑 現在逗留しているマントンから、カンヌまでは、電車で１時間半くらい。車窓からは、海辺の景色を堪能することも出来ますし、心地よい日差しと電車の揺れでいつの間にかうたた寝してしまったりなんてことも。ローカル電車ならではの楽しみ方ですね笑 カンヌでは、結局お昼を食べて、ちょっと散歩してで、滞在終了。のんびりした日中を過ごし、店長にお土産を買って、マントンに帰ってきました。明日は、いよいよマントン滞在のハイライトです。
568,2020年2月23日,フランス出張（7日目）,こんばんは、こうすけです。 今日は、マントン滞在のハイライト、レモン祭りのパレードの日でした。今年も素晴らしくインパクトのある山車と、目を見張るようなパフォーマンスで、楽しませていただきました。 レモン祭りといえば、レモンとオレンジで作られた、この巨大な山車。何百というレモンを使った、見上げるほどに大きな山車が、何種類もパレードを練り歩きます。そして山車と山車の間には、音楽隊だったり、パフォーマーだったりがやってきて、観客を楽しませてくれます。 毎年毎年テーマがあるのですが、今年のテーマは南米？？メキシコの死者の日をモチーフにしたものや、ペルーあたりの仮面や石像をイメージしたような山車が多くやってきました。ただ、何故か途中で現れる、着物の女性笑。突然の日本イメージに驚きが隠せませんでした。しかも山車には、「日本の花見祭り」というタイトルまで。びっくりしすぎて、思わず大笑いです。結局何故、着物の女性の山車が来たのか、未だに理解が追いつきません。 このレモン祭りに使われる山車のアイディアは、１年かけて考えられるそうです。それだけの時間をかけただけあるな、という見応え抜群のパレードでした！
571,2020年2月24日,フランス出張（8日目その１）,こんばんは、こうすけです。 今日はマントン散策恒例（？）の山登りでした。山登りと言っても、トレッキングシューズを履いて、リュックを背負ってという、本格的なものではなく、町の中心部から、山の方へと散歩がてらに歩いていく感じです。とはいえ、なかなか急な坂を登っていくので、散歩と言うにはハード。フランス出張中の勉強という名の食事で食べ過ぎている体には、程よいエクササイズでした笑 ただしっかり歩いた分、上の方から見る景色は、格別です。眼下に広がる青い海、見上げると続く、山肌とカラフルな壁の住居、そこから続く青い空。合間合間に、レモンやミモザの黄色、オレンジの橙色のアクセント。マントンは、イタリア国境付近ということもあり、高台からだと、イタリアあたりまで見通せます。登る間も降る間も素晴らしい景色を楽しむことが出来ました。高台は、展望台のようになっていて、ベンチも備えてあるので、そこに座って、じっくり景色を堪能することが出来ます。気持ちが良すぎて、思わずうとうとしてしまいました笑
